BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen. Dat betekent dat deze ree
ksen niet geschikt zijn voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeksen van de stations De Kooy, Eelde, De B
ilt, Vlissingen, Beek of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.

SOURCE: ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)
Comment: these time series are possibly inhomogeneous because of station relocations and changes in observation techniques. As a result, these series are not suit
able for trend analysis. For climate change studies we refer to the homogenized series of stations De Kooy, Eelde, De Bilt, Vlissingen, Beek or the Central Nether
lands Temperature <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.

YYYYMMDD  = Datum (YYYY=jaar MM=maand DD=dag) / Date (YYYY=year MM=month DD=day)
DDVEC     = Vectorgemiddelde windrichting in graden (360=noord, 90=oost, 180=zuid, 270=west, 0=windstil/variabel). Zie http://www.knmi.nl/kennis-en-datacentrum/ac
htergrond/klimatologische-brochures-en-boeken / Vector mean wind direction in degrees (360=north, 90=east, 180=south, 270=west, 0=calm/variable)
FHVEC     = Vectorgemiddelde windsnelheid (in 0.1 m/s). Zie http://www.knmi.nl/kennis-en-datacentrum/achtergrond/klimatologische-brochures-en-boeken / Vector mean
 windspeed (in 0.1 m/s)
FG        = Etmaalgemiddelde windsnelheid (in 0.1 m/s) / Daily mean windspeed (in 0.1 m/s)
FHX       = Hoogste uurgemiddelde windsnelheid (in 0.1 m/s) / Maximum hourly mean windspeed (in 0.1 m/s)
FHXH      = Uurvak waarin FHX is gemeten / Hourly division in which FHX was measured
FHN       = Laagste uurgemiddelde windsnelheid (in 0.1 m/s) / Minimum hourly mean windspeed (in 0.1 m/s)
FHNH      = Uurvak waarin FHN is gemeten / Hourly division in which FHN was measured
FXX       = Hoogste windstoot (in 0.1 m/s) / Maximum wind gust (in 0.1 m/s)
FXXH      = Uurvak waarin FXX is gemeten / Hourly division in which FXX was measured
TG        = Etmaalgemiddelde temperatuur (in 0.1 graden Celsius) / Daily mean temperature in (0.1 degrees Celsius)
TN        = Minimum temperatuur (in 0.1 graden Celsius) / Minimum temperature (in 0.1 degrees Celsius)
TNH       = Uurvak waarin TN is gemeten / Hourly division in which TN was measured
TX        = Maximum temperatuur (in 0.1 graden Celsius) / Maximum temperature (in 0.1 degrees Celsius)
TXH       = Uurvak waarin TX is gemeten / Hourly division in which TX was measured
T10N      = Minimum temperatuur op 10 cm hoogte (in 0.1 graden Celsius) / Minimum temperature at 10 cm above surface (in 0.1 degrees Celsius)
T10NH     = 6-uurs tijdvak waarin T10N is gemeten / 6-hourly division in which T10N was measured; 6=0-6 UT, 12=6-12 UT, 18=12-18 UT, 24=18-24 UT
SQ        = Zonneschijnduur (in 0.1 uur) berekend uit de globale straling (-1 voor <0.05 uur) / Sunshine duration (in 0.1 hour) calculated from global radiation (
-1 for <0.05 hour)
SP        = Percentage van de langst mogelijke zonneschijnduur / Percentage of maximum potential sunshine duration
Q         = Globale straling (in J/cm2) / Global radiation (in J/cm2)
DR        = Duur van de neerslag (in 0.1 uur) / Precipitation duration (in 0.1 hour)
RH        = Etmaalsom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm) / Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm)
RHX       = Hoogste uursom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm) / Maximum hourly precipitation amount (in 0.1 mm) (-1 for <0.05 mm)
RHXH      = Uurvak waarin RHX is gemeten / Hourly division in which RHX was measured
PG        = Etmaalgemiddelde luchtdruk herleid tot zeeniveau (in 0.1 hPa) berekend uit 24 uurwaarden / Daily mean sea level pressure (in 0.1 hPa) calculated from
24 hourly values
PX        = Hoogste uurwaarde van de luchtdruk herleid tot zeeniveau (in 0.1 hPa) / Maximum hourly sea level pressure (in 0.1 hPa)
PXH       = Uurvak waarin PX is gemeten / Hourly division in which PX was measured
PN        = Laagste uurwaarde van de luchtdruk herleid tot zeeniveau (in 0.1 hPa) / Minimum hourly sea level pressure (in 0.1 hPa)
PNH       = Uurvak waarin PN is gemeten / Hourly division in which PN was measured
VVN       = Minimum opgetreden zicht / Minimum visibility; 0: <100 m, 1:100-200 m, 2:200-300 m,..., 49:4900-5000 m, 50:5-6 km, 56:6-7 km, 57:7-8 km,..., 79:29-30
km, 80:30-35 km, 81:35-40 km,..., 89: >70 km)
VVNH      = Uurvak waarin VVN is gemeten / Hourly division in which VVN was measured
VVX       = Maximum opgetreden zicht / Maximum visibility; 0: <100 m, 1:100-200 m, 2:200-300 m,..., 49:4900-5000 m, 50:5-6 km, 56:6-7 km, 57:7-8 km,..., 79:29-30
km, 80:30-35 km, 81:35-40 km,..., 89: >70 km)
VVXH      = Uurvak waarin VVX is gemeten / Hourly division in which VVX was measured
NG        = Etmaalgemiddelde bewolking (bedekkingsgraad van de bovenlucht in achtsten, 9=bovenlucht onzichtbaar) / Mean daily cloud cover (in octants, 9=sky invis
ible)
UG        = Etmaalgemiddelde relatieve vochtigheid (in procenten) / Daily mean relative atmospheric humidity (in percents)
UX        = Maximale relatieve vochtigheid (in procenten) / Maximum relative atmospheric humidity (in percents)
UXH       = Uurvak waarin UX is gemeten / Hourly division in which UX was measured
UN        = Minimale relatieve vochtigheid (in procenten) / Minimum relative atmospheric humidity (in percents)
UNH       = Uurvak waarin UN is gemeten / Hourly division in which UN was measured
EV24      = Referentiegewasverdamping (Makkink) (in 0.1 mm) / Potential evapotranspiration (Makkink) (in 0.1 mm)

# STN,YYYYMMDD,DDVEC,FHVEC,   FG,  FHX, FHXH,  FHN, FHNH,  FXX, FXXH,   TG,   TN,  TNH,   TX,  TXH, T10N,T10NH,   SQ,   SP,    Q,   DR,   RH,  RHX, RHXH,   PG,   PX,  PXH,   PN,  PNH,  VVN, VVNH,  VVX, VVXH,   NG,   UG,   UX,  UXH,   UN,  UNH, EV24

  350,20220502,   11,   30,   31,   60,   18,   10,    1,   90,   17,  116,   28,    5,  186,   15,  -22,    6,  137,   92, 2552,    0,    0,    0,    1,10200,10213,    1,10184,   16,   48,    3,   83,   19,    0,   61,   98,    3,   36,   13,   39
  350,20220503,  358,   30,   31,   50,   15,   10,    2,   80,   14,  108,   34,    5,  172,   11,  -15,    6,   72,   48, 1604,    0,    0,    0,    1,10196,10203,    9,10188,   16,   59,    6,   80,    8,    7,   73,   92,    5,   55,   11,   24
  350,20220504,  321,   18,   23,   40,   16,    0,   23,   70,   12,  113,   41,    5,  176,   15,  -15,    6,  109,   73, 2366,    0,    0,    0,    1,10194,10202,   23,10182,   17,   63,    5,   83,   19,    7,   67,   95,    5,   43,   12,   36
  350,20220505,  310,   17,   20,   40,   17,    0,    1,   80,   14,  134,   82,   23,  192,   16,   67,   24,   32,   21, 1431,    0,    0,    0,    1,10226,10257,   24,10201,    1,    1,   24,   76,   16,    6,   74,  100,   24,   52,   15,   23
  350,20220506,  282,   15,   19,   30,    1,   10,    4,   80,   12,  142,   90,    6,  220,   15,   74,   24,   87,   58, 2213,    0,    0,    0,    1,10250,10267,    7,10233,   24,    1,    1,   82,   18,    6,   75,  100,    1,   42,   15,   36
  350,20220507,  349,   26,   32,   60,   17,   10,    1,   90,   17,  154,   97,    1,  213,   12,   70,    6,   57,   38, 1520,    7,   36,   32,   12,10239,10266,   24,10226,    3,   15,   12,   80,   14,    7,   73,   91,    1,   56,   10,   25
  350,20220508,   23,   39,   40,   50,    1,   20,   23,   80,    1,  130,   67,   24,  190,   16,   13,   24,  121,   80, 2675,    0,    0,    0,    1,10276,10290,    9,10265,   16,   66,    6,   83,   17,    3,   65,   89,    2,   39,   16,   42
  350,20220509,  164,    5,   17,   40,   16,   10,    4,   80,   14,  156,   43,    4,  246,   15,  -11,    6,  136,   89, 2625,    0,    0,    0,    1,10241,10274,    1,10207,   24,   63,   24,   83,   18,    4,   60,   95,    4,   32,   14,   44
  350,20220510,  225,   32,   39,   70,   12,   10,    1,  140,   12,  182,  101,    2,  253,   11,   65,    6,   12,    8, 1382,    0,   -1,   -1,    1,10163,10200,    1,10134,   24,   58,    2,   83,   16,    8,   60,   92,    1,   39,   14,   24
  350,20220511,  248,   40,   45,   60,   10,   10,    4,  150,   21,  176,  118,   24,  238,   15,  107,   24,  119,   77, 2539,    2,    3,    3,   20,10113,10143,   24,10094,   15,   70,   24,   83,    8,    6,   59,   81,   24,   39,   15,   44
  350,20220512,  257,   29,   33,   60,   17,   20,    1,   90,   11,  145,   88,    2,  204,   15,   58,   24,  116,   75, 2295,    0,    0,    0,    1,10181,10195,    9,10148,    1,   44,    5,   83,   18,    4,   63,   98,    4,   38,   12,   37
  350,20220513,  248,   35,   38,   60,   10,   10,   21,  110,   10,  144,   92,    1,  207,   16,   63,   24,   99,   64, 2220,    0,    0,    0,    1,10199,10210,   21,10183,    4,   65,    4,   82,   12,    6,   66,   88,    4,   45,   14,   36
  350,20220514,  303,   12,   27,   40,   17,   20,    1,   70,   14,  156,   78,    4,  229,   15,   60,   24,  137,   88, 2674,    0,    0,    0,    1,10211,10219,    8,10205,   17,   63,    6,   78,   18,    3,   65,   88,    4,   41,   16,   45
  350,20220515,   93,   36,   37,   50,   10,   20,    1,  110,   11,  197,   88,    5,  269,   15,   33,    6,  138,   89, 2648,    0,    0,    0,    1,10172,10204,    1,10134,   24,   65,    1,   83,   19,    4,   49,   86,    4,   25,   14,   48
  350,20220516,  238,   23,   35,   60,   15,   10,   23,  110,   10,  186,  127,   24,  262,   10,   91,   24,   62,   40, 1502,   11,   13,    9,   11,10160,10201,   24,10121,    4,   63,   12,   83,   19,    6,   66,   88,   12,   45,    9,   27
  350,20220517,  165,   14,   23,   50,   11,    0,    5,   90,   12,  192,  113,    4,  280,   17,   85,   24,   73,   47, 2021,    4,    1,    1,    7,10192,10211,    8,10173,   16,   57,   23,   83,   19,     ,   69,   96,   23,   36,   17,   36
  350,20220518,  284,    8,   24,   40,    8,   10,    1,   60,   10,  205,  124,    1,  268,   14,   89,    6,  102,   65, 2368,    0,    0,    0,    1,10200,10216,    9,10175,   24,   57,    2,   83,   14,     ,   67,   94,    2,   44,   14,   44
  350,20220519,  278,    9,   31,   90,   12,   10,    4,  210,   12,  182,   99,   24,  255,   10,   70,   24,   44,   28, 1283,   32,  205,   99,   12,10187,10221,   22,10160,    2,   10,   24,   80,   10,     ,   82,   98,   24,   57,   10,   23
  350,20220520,  236,    7,   35,   80,   17,   10,    1,  190,   15,  139,   85,    2,  197,   12,   70,    6,   38,   24, 1118,   21,  104,   70,   14,10183,10219,    1,10125,   14,    1,    1,   80,    8,     ,   84,   99,    1,   63,    9,   18
  350,20220521,  258,   34,   38,   60,    9,    0,   22,  100,    4,  144,   90,   24,  191,   14,   55,   24,   79,   50, 1974,    0,    0,    0,    1,10208,10221,   11,10196,   24,   62,    5,   82,   18,     ,   74,   95,   23,   51,   15,   32
  350,20220522,  125,   11,   16,   30,   11,    0,    1,   40,   15,  169,   71,    4,  230,   17,   40,    6,  120,   75, 2667,    0,   -1,   -1,    1,10142,10193,    1,10078,   24,   12,    4,   82,   19,     ,   65,   98,    4,   43,   15,   46
  350,20220523,  190,    4,   28,   70,   17,   10,    2,  130,   16,  164,  131,   24,  229,   11,  126,   24,   15,    9, 1097,   48,   98,   58,   14,10014,10069,    1, 9968,   15,   15,   17,   81,   11,     ,   81,   96,   14,   56,   11,   19
  350,20220524,  226,   34,   36,   60,    7,   20,   19,  110,    7,  127,   88,   24,  176,   14,   75,   24,   53,   33, 1551,    9,    7,    4,   15,10067,10123,   24,10011,    1,   60,   15,   83,   14,    6,   82,   94,   24,   60,   13,   24
  350,20220525,  226,   42,   43,   60,   12,   20,    2,  140,   18,  141,   83,    4,  191,   14,   72,    6,   63,   39, 1628,    0,   -1,   -1,    1,10151,10175,   24,10127,    1,   58,    7,   83,   16,    6,   74,   96,    4,   50,   12,   26
  350,20220526,  243,   44,   44,   50,   10,   30,    1,  110,   11,  166,  133,    4,  205,   16,  129,    6,   55,   34, 1930,    0,    0,    0,    1,10204,10219,   11,10176,    1,   62,    4,   82,   10,    8,   73,   88,    4,   59,   13,   33
  350,20220527,  286,   47,   50,   90,   13,   20,   20,  140,   13,  144,   95,   24,  178,   10,   81,   24,  123,   76, 2607,    0,   -1,   -1,    1,10221,10237,   21,10198,    4,   29,    2,   83,   19,    4,   68,   98,    3,   49,   16,   42
  350,20220528,  327,   38,   42,   60,   13,   20,    1,  110,   13,  123,   64,   23,  173,   14,   51,   24,  129,   80, 2424,    0,   -1,   -1,    1,10217,10230,    8,10190,   24,   65,    4,   82,   10,    4,   65,   92,    4,   44,   14,   38
  356,20220501,   23,    8,   15,   20,    7,   10,    1,   50,   13,   93,   -4,    5,  156,   15,  -28,    6,   87,   59, 2115,    0,    0,    0,    1,10235,10251,    1,10218,   24,     ,     ,     ,     ,     ,   70,  100,    5,   48,   13,   30
  356,20220502,    9,   23,   25,   50,   17,   10,    4,   80,   14,  111,   30,    4,  177,   14,   -5,    6,  136,   91, 2556,    0,    0,    0,    1,10201,10215,    1,10186,   16,     ,     ,     ,     ,     ,   63,   97,    5,   39,   17,   39
  356,20220503,    1,   22,   23,   40,   13,   10,    1,   70,   13,  102,   19,    4,  165,   12,   -6,    6,   62,   41, 1576,    0,    0,    0,    1,10197,10203,    9,10190,   17,     ,     ,     ,     ,     ,   77,   99,    5,   60,   12,   23
  356,20220504,  321,   14,   18,   30,   13,    0,   24,   70,   14,  104,   38,    5,  163,   16,   24,    6,  121,   81, 2511,    0,    0,    0,    1,10194,10202,    1,10181,   17,     ,     ,     ,     ,     ,   71,   95,   23,   51,   13,   37
  356,20220505,  316,    8,   17,   30,   17,    0,    1,   60,   17,  122,   40,    4,  192,   17,   23,    6,   58,   38, 1699,    0,    0,    0,    1,10227,10256,   24,10200,    2,     ,     ,     ,     ,     ,   79,  100,   23,   52,   15,   26
  356,20220506,  280,   18,   19,   30,   13,    0,   21,   70,   12,  135,   79,    5,  207,   15,   63,   24,   88,   58, 2136,    0,    0,    0,    1,10250,10266,    7,10232,   24,     ,     ,     ,     ,     ,   80,  100,    1,   53,   13,   34
  356,20220507,  347,   22,   28,   40,   13,    0,    4,   80,   22,  148,  100,    1,  197,   11,   79,    6,   62,   41, 1574,    0,    0,    0,    1,10240,10271,   24,10226,    2,     ,     ,     ,     ,     ,   77,   97,    1,   60,   12,   26
  356,20220508,   28,   30,   32,   40,    2,   20,   21,   80,    7,  125,   72,   24,  183,   16,   55,   24,  137,   90, 2697,    0,    0,    0,    1,10279,10293,    9,10267,   17,     ,     ,     ,     ,     ,   63,   85,    1,   33,   16,   42
  356,20220509,   72,    4,   17,   30,    7,   10,    5,   60,   13,  147,   39,    4,  235,   16,   25,    6,  128,   84, 2567,    0,    0,    0,    1,10242,10276,    1,10204,   24,     ,     ,     ,     ,     ,   63,   92,   24,   35,   15,   42
  356,20220510,  243,   34,   43,   80,   12,   10,    1,  130,   12,  172,  101,    1,  251,   12,   68,    6,   17,   11, 1411,    0,    0,    0,    1,10161,10198,    1,10135,   24,     ,     ,     ,     ,     ,   67,   95,    1,   45,   11,   24
  356,20220511,  253,   60,   62,  110,   21,   20,    1,  190,   21,  166,  104,   24,  219,   14,   93,   24,   85,   55, 2336,    6,    8,    6,   22,10110,10139,   24,10093,   19,     ,     ,     ,     ,     ,   63,   92,   24,   45,   12,   40
  356,20220512,  249,   41,   43,   70,   15,   20,    2,  110,   12,  137,   72,    5,  197,   12,   26,    6,  135,   87, 2622,    0,    0,    0,    1,10179,10193,   10,10145,    1,     ,     ,     ,     ,     ,   66,   99,    2,   40,   14,   42
  356,20220513,  251,   52,   55,   90,   13,   30,    1,  140,   13,  139,   95,    1,  191,   14,   51,   24,   96,   62, 2293,    0,    0,    0,    1,10195,10207,   21,10176,    3,     ,     ,     ,     ,     ,   70,   89,    4,   47,   13,   37
  356,20220514,  277,   11,   23,   30,    1,   10,    9,   60,   12,  154,   83,    4,  217,   14,   44,    6,  127,   82, 2532,    0,    0,    0,    1,10212,10219,   12,10202,    1,     ,     ,     ,     ,     ,   68,   91,    4,   47,   15,   42
  356,20220515,   85,   35,   36,   50,   11,   20,    3,   90,   10,  189,   93,    5,  252,   15,   77,    6,  142,   91, 2736,    0,    0,    0,    1,10178,10206,    1,10140,   24,     ,     ,     ,     ,     ,   51,   82,    4,   26,   16,   49
  356,20220516,  240,   26,   44,   80,   11,   10,    9,  130,   11,  176,  123,   23,  259,   11,   78,   24,   59,   38, 1562,    6,    6,    4,   11,10159,10199,   24,10123,    4,     ,     ,     ,     ,     ,   71,   89,   23,   52,   10,   27
  356,20220517,  124,   17,   23,   50,   12,   10,    1,   90,   13,  189,  122,    4,  264,   16,   91,    6,   64,   41, 1998,    4,    2,    2,    8,10192,10212,    8,10172,   18,     ,     ,     ,     ,     ,   73,   99,   23,   47,   16,   36
  356,20220518,  308,   11,   25,   50,    8,   10,    1,   70,    7,  193,  121,    2,  251,   15,   97,    6,   99,   63, 2273,    0,    0,    0,    1,10199,10213,   10,10175,   24,     ,     ,     ,     ,     ,   76,   98,    1,   57,   14,   41
  356,20220519,  271,   14,   34,   70,   17,   10,   23,  240,   12,  175,   99,   24,  251,   11,   73,   24,   49,   31, 1322,   37,  285,  183,   12,10186,10221,   23,10162,   11,     ,     ,     ,     ,     ,   85,   99,   22,   64,   11,   23
  356,20220520,  274,    7,   39,   80,   16,   10,    1,  190,   16,  137,   80,    3,  198,   12,   69,    6,   45,   28, 1224,   32,  160,   98,   13,10181,10220,    1,10128,   14,     ,     ,     ,     ,     ,   86,  100,    1,   63,   10,   20
  356,20220521,  259,   39,   44,   70,   10,    0,   23,  100,    1,  144,   90,   24,  188,   15,   69,   24,   91,   57, 1927,    0,    0,    0,    1,10204,10217,   12,10191,    1,     ,     ,     ,     ,     ,   77,  100,   24,   57,   17,   31
  356,20220522,  101,   16,   19,   30,   15,    0,    1,   60,   12,  161,   57,    4,  217,   17,   38,    6,  132,   83, 2672,    0,    0,    0,    1,10143,10192,    1,10080,   24,     ,     ,     ,     ,     ,   68,  100,    2,   49,   15,   45
  356,20220523,  306,    2,   34,   80,   17,   20,    2,  120,   17,  160,  127,    5,  227,   12,  122,    6,   14,    9, 1033,   41,  109,   76,   17,10012,10071,    1, 9968,   15,     ,     ,     ,     ,     ,   83,   95,   17,   65,   12,   17
  356,20220524,  235,   49,   51,   80,    8,   20,   21,  130,    8,  128,   83,   24,  171,   14,   52,   24,   66,   41, 1768,   19,   16,    7,   11,10062,10120,   24,10006,    1,     ,     ,     ,     ,     ,   80,   91,   22,   63,   15,   28
  356,20220525,  229,   57,   59,   90,   11,   20,    1,  150,   17,  138,   84,    1,  181,   12,   59,    6,   64,   40, 1760,    0,    0,    0,    1,10146,10169,   24,10124,    1,     ,     ,     ,     ,     ,   77,   93,    4,   56,   14,   28
  356,20220526,  246,   66,   67,   90,   12,   40,    4,  130,   16,  162,  128,    5,  193,   13,  124,    6,   72,   45, 2152,    0,    0,    0,    1,10198,10214,   11,10170,    1,     ,     ,     ,     ,     ,   76,   94,    5,   61,   12,   36
  356,20220527,  289,   55,   58,   80,    9,   30,    3,  160,   10,  134,   75,   23,  168,   11,   52,   24,  119,   74, 2511,    6,   18,   18,    2,10218,10232,   17,10195,    3,     ,     ,     ,     ,     ,   73,   95,    3,   56,   13,   40
  356,20220528,  313,   43,   46,   70,   14,   20,   21,  110,   11,  114,   49,   24,  159,   12,   23,   24,  137,   85, 2792,    9,    3,    1,   18,10214,10226,    8,10186,   24,     ,     ,     ,     ,     ,   73,   97,   23,   51,   16,   42
  370,20220501,  336,   13,   16,   30,   17,    0,   23,   60,   11,  103,   41,    6,  160,   15,   -4,   24,   69,   47, 1841,    0,    0,    0,    1,10234,10251,    1,10216,   24,   50,    6,   83,   20,    7,   64,   94,    5,   41,   13,   27
  370,20220502,    5,   25,   27,   50,   19,    0,    2,   90,   21,  118,   11,    4,  190,   15,  -28,    6,  137,   92, 2504,    0,    0,    0,    1,10197,10213,    1,10178,   17,   58,    5,   82,   20,    1,   60,   96,    5,   35,   14,   38
  370,20220503,  360,   30,   31,   60,   16,   10,    4,   90,   15,  115,   26,    5,  182,   12,  -14,    6,   92,   62, 2151,    0,    0,    0,    1,10193,10201,    9,10183,   15,   62,   17,   81,   10,    7,   67,   90,    4,   43,    8,   33
  370,20220504,  332,   17,   21,   40,   16,   10,    2,   70,   15,  122,   63,    1,  183,   14,   50,    6,   94,   63, 2287,    0,    0,    0,    1,10192,10202,   23,10179,   15,   65,    9,   80,   16,    7,   62,   83,   24,   38,   14,   35
  370,20220505,  322,   13,   16,   30,   15,    0,    1,   60,   15,  140,   72,    1,  195,   17,   37,    6,   47,   31, 1658,    0,    0,    0,    1,10225,10254,   24,10201,    1,   39,   24,   75,   18,    6,   69,   94,   24,   46,   17,   27
  370,20220506,  267,   10,   15,   30,   18,    0,   21,   60,   13,  139,   78,    3,  220,   15,   31,    6,   81,   54, 2122,    0,    0,    0,    1,10250,10269,    8,10235,   24,    1,    3,   81,   16,    5,   76,   99,    3,   39,   15,   34
  370,20220507,  334,   20,   27,   60,   14,    0,    2,  110,   14,  152,   93,    2,  226,   13,   66,    6,   77,   51, 1752,    0,   -1,   -1,    1,10238,10262,   24,10227,    3,   56,    8,   75,   15,    7,   72,   96,    2,   43,   12,   29
  370,20220508,   25,   38,   40,   60,    5,   20,   21,   90,    5,  138,   77,   24,  197,   15,   24,   24,  111,   73, 2538,    0,    0,    0,    1,10273,10287,    9,10261,   17,   65,    6,   81,   18,    3,   59,   81,    3,   36,   16,   41
  370,20220509,  199,    5,   19,   40,   16,   10,    4,   80,   16,  162,   47,    5,  253,   16,   -9,    6,  138,   90, 2584,    0,    0,    0,    1,10241,10273,    1,10208,   24,   66,    5,   81,   15,    3,   58,   90,    4,   31,   15,   44
  370,20220510,  224,   37,   43,   90,   12,   10,    1,  140,   13,  189,  103,    3,  266,   12,   68,    6,   19,   12, 1456,    0,    0,    0,    1,10165,10203,    1,10136,   24,   64,    4,   83,   21,    8,   58,   91,    2,   38,   14,   26
  370,20220511,  237,   48,   52,   80,   14,   20,    5,  130,   11,  187,  131,   24,  246,   15,  117,    6,  135,   88, 2510,    3,    2,    2,   21,10113,10143,   24,10091,   17,   70,   21,   83,    1,    5,   57,   82,   21,   40,   13,   45
  370,20220512,  250,   28,   32,   50,   11,   10,   22,   90,   11,  144,   71,   24,  204,   14,   11,   24,   84,   54, 1903,    0,    0,    0,    1,10182,10195,    9,10149,    1,   56,    5,   83,   20,    4,   64,   98,    4,   37,   14,   31
  370,20220513,  233,   43,   45,   70,   14,   10,   21,  120,   14,  143,   71,    1,  204,   16,   11,    6,   88,   57, 2067,    0,    0,    0,    1,10201,10212,   24,10186,    3,   69,    9,   82,   19,    6,   65,   90,   24,   43,   16,   34
  370,20220514,  282,    9,   26,   30,    6,   20,    1,   90,   14,  158,   61,    4,  242,   15,   17,    6,  132,   85, 2570,    0,    0,    0,    1,10212,10221,    9,10204,   16,   66,    7,   79,   18,    3,   62,   90,    5,   36,   14,   43
  370,20220515,   82,   32,   33,   40,    9,   20,    3,  110,   14,  204,  102,    5,  270,   16,   86,    6,  139,   89, 2672,    0,    0,    0,    1,10174,10203,    1,10136,   24,   64,    4,   82,   18,    4,   46,   77,    4,   25,   14,   49
  370,20220516,  229,   21,   34,   60,    9,   10,   21,  120,   11,  189,  114,   24,  274,   10,   75,   24,   49,   31, 1287,    2,   23,   23,   11,10161,10204,   24,10124,    4,   64,   14,   82,    6,    6,   67,   95,   24,   46,    9,   23
  370,20220517,  157,   17,   20,   40,   11,    0,   23,   80,   13,  191,  109,    1,  281,   16,   71,    6,   64,   41, 1781,    0,   -1,   -1,    1,10194,10215,    9,10174,   17,   65,    1,   82,   15,    7,   69,   95,    1,   40,   14,   32
  370,20220518,  282,    8,   25,   40,    5,   10,    1,   60,    8,  218,  128,    2,  281,   15,   88,    6,   88,   56, 2191,    0,    0,    0,    1,10199,10214,   10,10177,   24,   62,   24,   81,   16,    8,   64,   95,    1,   44,   16,   41
  370,20220519,  225,    7,   28,   70,   12,   10,    5,  310,   12,  188,  101,   24,  284,   11,   69,   24,   38,   24, 1326,   11,   62,   42,   12,10187,10223,   24,10155,   11,   24,   24,   81,   11,    7,   80,   98,   23,   44,   11,   24
  370,20220520,  209,   10,   35,   80,   15,    0,    1,  150,   16,  147,   84,    3,  214,   11,   58,    6,   47,   30, 1275,    7,   15,   15,   13,10183,10221,    1,10127,   14,    3,    3,   78,    7,    6,   82,   99,    3,   59,    8,   21
  370,20220521,  249,   32,   38,   60,    3,    0,   22,  100,   12,  146,  100,   24,  196,   15,   68,   24,   58,   37, 1745,    0,    0,    0,    1,10209,10220,   11,10195,   24,   63,    6,   80,   17,    7,   73,   94,   24,   54,   13,   29
  370,20220522,   91,   15,   17,   30,   14,    0,    1,   70,   14,  176,   80,    4,  237,   16,   42,    6,  114,   72, 2597,    0,    0,    0,    1,10142,10192,    1,10075,   24,   64,    4,   81,   19,    6,   61,   97,    3,   40,   15,   45
  370,20220523,  203,   11,   30,   60,   18,   10,    3,  110,   17,  175,  134,   21,  248,   12,  129,    6,   18,   11, 1202,   33,  132,   83,   17,10013,10069,    1, 9965,   16,   46,   16,   82,   13,    8,   75,   96,   17,   45,   12,   21
  370,20220524,  223,   44,   47,   80,    8,   20,   20,  120,    8,  128,   82,   24,  180,   11,   63,   24,   68,   43, 1546,   16,   43,   31,   13,10070,10126,   24,10015,    1,   63,    1,   81,   12,    6,   80,   96,   24,   54,   11,   24
  370,20220525,  226,   54,   55,   80,   13,   20,    1,  130,   12,  143,   73,    2,  196,   13,   44,    6,   72,   45, 1790,     ,   -1,   -1,    1,10154,10178,   24,10129,    1,   59,    1,   83,   16,    6,   71,   97,    1,   49,   12,   29
  370,20220526,  232,   59,   59,   80,   14,   40,    4,  130,   18,  167,  131,    5,  209,   13,  125,    6,   40,   25, 1610,    0,    0,    0,    1,10206,10220,   11,10178,    1,   63,    5,   82,   16,    8,   71,   86,    4,   54,   13,   28
  370,20220527,  277,   39,   46,   70,   11,   20,   20,  130,   12,  142,   74,   23,  187,   12,   49,   24,  114,   71, 2561,   25,   13,    5,    3,10220,10236,   20,10199,    4,   38,    3,   81,   20,    5,   69,   98,    4,   46,   14,   42
  370,20220528,  319,   41,   45,   60,    8,   20,    3,  120,   14,  124,   70,   24,  173,   13,   49,   24,  130,   80, 2451,    0,   -1,   -1,    1,10213,10228,    8,10188,   24,   67,   24,   82,    8,    3,   63,   87,   24,   41,   12,   38
  375,20220501,   15,   13,   15,   20,    7,   10,    1,   50,   12,  105,   50,   24,  153,   16,    3,   24,   43,   29, 1587,    0,    0,    0,    1,10233,10249,    1,10217,   24,   65,    6,   82,   19,    8,   66,   91,   24,   40,   16,   24
  375,20220502,    4,   22,   23,   40,   18,   10,    1,   80,   10,  118,   23,    5,  189,   15,  -19,    6,  132,   89, 2511,    0,    0,    0,    1,10197,10214,    1,10178,   17,   58,    5,   83,   18,    1,   61,   98,    3,   34,   15,   38
  375,20220503,  358,   25,   26,   50,   15,   10,    5,   90,   15,  112,   44,    5,  177,   12,   24,    6,   80,   54, 1858,    0,    0,    0,    1,10193,10200,    9,10184,   14,   62,   16,   82,   10,    7,   67,   87,    5,   42,    8,   28
